Isotope,A,Z,YIELD,MASS,METALLICITY,IRV
Nd46,14.0,60.0,1.0469e-09,2.0,0.014,60.0
Nd47,14.0,60.0,0.0,2.0,0.014,60.0
Nd48,14.0,60.0,2.6568e-10,2.0,0.014,60.0
Nd49,14.0,60.0,0.0,2.0,0.014,60.0
Nd50,15.0,60.0,2.5372e-10,2.0,0.014,60.0
Pm45,14.0,61.0,0.0,2.0,0.014,60.0
Pm46,14.0,61.0,0.0,2.0,0.014,60.0
Pm47,14.0,61.0,0.0,2.0,0.014,60.0
Pm48,14.0,61.0,0.0,2.0,0.014,60.0
Pm49,14.0,61.0,0.0,2.0,0.014,60.0
Pm50,15.0,61.0,0.0,2.0,0.014,60.0
Pm51,15.0,61.0,0.0,2.0,0.014,60.0
Sm44,14.0,62.0,4.1358e-11,2.0,0.014,60.0
