  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
Sr88   38   88  1.2155E+00  1.4517E+00  2.2309E+00  3.4460E+00  9.9998E-01  1.0000E+00  1.0010E+00  1.0074E+00  1.0100E+00
Y89    39   89  1.1348E+00  1.2748E+00  1.7937E+00  3.0373E+00  1.0000E+00  1.0000E+00  1.0006E+00  1.0028E+00  1.0040E+00
Zr90   40   90  1.0797E+00  1.1497E+00  1.4038E+00  2.0516E+00  1.0000E+00  1.0000E+00  1.0001E+00  1.0002E+00  1.0002E+00
Zr91   40   91  1.0719E+00  1.1486E+00  1.5537E+00  2.6040E+00  9.9997E-01  1.0000E+00  1.0010E+00  1.0034E+00  1.0048E+00
Zr92   40   92  1.0529E+00  1.1037E+00  1.3765E+00  2.0287E+00  1.0000E+00  1.0000E+00  1.0017E+00  1.0065E+00  1.0089E+00
Zr94   40   94  1.0075E+00  1.0230E+00  1.1719E+00  1.5622E+00  9.9999E-01  9.9999E-01  9.9754E-01  9.9420E-01  9.9216E-01
Zr96   40   96  9.8248E-02  9.9901E-02  3.2974E-01  1.9200E+00  1.5650E-02  1.5468E-02  1.3939E-02  1.3966E-02  1.3026E-02
Nb93   41   93  9.8765E-01  1.0094E+00  1.2024E+00  1.8853E+00  9.9999E-01  1.0000E+00  9.8830E-01  9.7664E-01  9.6922E-01
Mo92   42   92  1.0719E+00  1.1381E+00  1.1599E+00  1.1395E+00  9.9999E-01  9.9999E-01  9.9072E-01  9.6838E-01  9.5738E-01
Mo94   42   94  1.2199E+00  1.2997E+00  1.3829E+00  1.3268E+00  9.9998E-01  1.0001E+00  1.0643E+00  1.1038E+00  1.1342E+00
Mo95   42   95  1.0116E+00  1.0231E+00  1.1382E+00  1.8028E+00  9.9999E-01  9.9999E-01  9.9961E-01  9.9826E-01  9.9856E-01
Mo96   42   96  1.8087E+00  1.7911E+00  1.9124E+00  2.1423E+00  1.8285E+00  1.8287E+00  1.8350E+00  1.8480E+00  1.8551E+00
Mo97   42   97  9.9102E-01  9.7391E-01  1.0542E+00  1.3211E+00  9.9999E-01  1.0000E+00  1.0048E+00  1.0146E+00  1.0194E+00
Mo98   42   98  9.8962E-01  9.9398E-01  1.0699E+00  1.3109E+00  9.9996E-01  1.0000E+00  1.0061E+00  1.0247E+00  1.0334E+00
Xe32   54  132  9.7435E-01  9.6950E-01  1.0040E+00  1.0761E+00  9.9999E-01  9.9999E-01  9.9767E-01  9.9417E-01  9.9207E-01
Xe34   54  134  9.7453E-01  9.5809E-01  9.3335E-01  9.7810E-01  1.0000E+00  1.0000E+00  9.9744E-01  9.8964E-01  9.8594E-01
Cs33   55  133  9.4450E-01  9.3483E-01  9.1606E-01  9.9786E-01  9.9996E-01  9.9996E-01  9.8518E-01  9.6641E-01  9.5587E-01
Ba34   56  134  1.2551E+00  1.3630E+00  1.6286E+00  1.8016E+00  9.9998E-01  1.0002E+00  1.0914E+00  1.2103E+00  1.2768E+00
Ba35   56  135  9.4262E-01  9.2141E-01  9.1249E-01  9.8355E-01  9.9999E-01  9.9996E-01  9.8648E-01  9.7662E-01  9.7098E-01
