  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
He3     2    3  6.9935E-01  6.1550E-01  5.0955E-01  4.5200E-01  3.9554E-01  3.5296E-01  3.3112E-01  2.7780E-01  3.0454E-01
He4     2    4  1.3794E+00  1.3359E+00  1.4061E+00  1.4089E+00  1.3821E+00  1.4791E+00  1.5384E+00  1.5740E+00  1.9267E+00
Li6     3    6  4.0265E-04  6.3003E-04  1.1492E-03  1.4826E-03  1.5920E-03  1.8762E-03  2.3932E-03  1.1786E-03  1.4963E-03
Li7     3    7  6.5315E-04  1.0773E-03  1.8195E-03  2.4709E-03  2.4119E-03  2.5998E-03  3.9807E-03  1.8628E-03  1.8683E-03
Be9     4    9  1.0609E-03  1.6733E-03  2.8286E-03  4.1075E-03  4.0688E-03  3.7674E-03  4.2800E-03  2.4780E-03  2.5606E-03
B10     5   10  1.6430E-03  2.5206E-03  4.1549E-03  6.0841E-03  6.2423E-03  5.1163E-03  6.1507E-03  3.5653E-03  3.3712E-03
B11     5   11  7.9555E-02  7.4347E-02  6.1331E-02  5.3447E-02  4.8708E-02  4.9644E-02  5.3483E-02  4.5043E-02  5.6244E-02
C12     6   12  1.4560E+01  1.2298E+01  2.7711E+01  2.7633E+01  2.5988E+01  2.5979E+01  2.5775E+01  2.5969E+01  2.0649E+01
C13     6   13  3.1981E+00  2.0919E+00  4.6777E+00  3.9815E+00  3.4029E+00  2.7870E+00  1.5966E+00  1.1906E+00  7.2115E-01
N14     7   14  5.2551E+00  4.6805E+00  5.7307E+00  5.5852E+00  5.6261E+00  6.3033E+00  6.2587E+00  6.4700E+00  7.1833E+00
N15     7   15  1.0508E+00  1.0206E+00  3.1188E-01  1.8759E-01  1.3795E-01  1.3876E-01  1.4199E-01  1.3433E-01  1.5908E-01
O16     8   16  2.1227E+01  2.6524E+01  2.6650E+01  2.8546E+01  3.2372E+01  3.0470E+01  3.0436E+01  3.0906E+01  2.1639E+01
O17     8   17  2.4137E+00  1.6439E+00  1.8302E+00  1.4681E+00  6.9384E-01  5.8532E-01  3.8013E-01  3.9590E-01  3.8565E-01
O18     8   18  7.4169E+00  5.4889E-01  3.2161E-01  2.8010E-01  2.5075E-01  1.9511E-01  1.8484E-01  1.5687E-01  2.1797E-01
F19     9   19  2.6468E+00  1.0160E+02  1.3167E+01  1.4131E+00  5.9643E-01  6.5099E-01  7.3753E-01  3.8406E-01  4.5832E-01
Ne20   10   20  2.7429E+00  4.1412E+00  5.5016E+00  1.4038E+01  3.3314E+01  2.6353E+01  2.1635E+01  1.5380E+01  8.0898E+00
Ne21   10   21  7.3076E+00  1.2993E+01  1.2838E+01  1.1680E+01  1.6007E+01  1.6699E+01  1.4498E+01  1.3306E+01  7.8160E+00
Ne22   10   22  2.2433E+01  2.6544E+01  1.7391E+01  1.8849E+01  1.5360E+01  1.1889E+01  1.2177E+01  1.4763E+01  1.3584E+01
Na23   11   23  4.6496E+00  4.9167E+00  6.1241E+00  1.1155E+01  2.6773E+01  2.4324E+01  1.6855E+01  9.7587E+00  6.8962E+00
Mg24   12   24  2.3036E+00  2.3113E+00  3.8695E+00  8.1018E+00  1.0907E+01  8.0569E+00  8.2295E+00  7.4249E+00  5.7484E+00
Mg25   12   25  5.3558E+00  1.4280E+01  1.0637E+01  1.1451E+01  1.8497E+01  1.8615E+01  1.9686E+01  1.8746E+01  1.3814E+01
Mg26   12   26  4.8990E+00  9.6945E+00  8.2415E+00  9.0298E+00  1.6365E+01  1.6276E+01  1.6775E+01  1.4802E+01  1.0877E+01
Al27   13   27  3.0072E+00  3.1724E+00  4.6496E+00  1.0558E+01  1.6697E+01  1.3693E+01  1.0749E+01  7.5243E+00  4.5253E+00
Si28   14   28  1.5056E+01  1.4176E+01  2.0926E+01  2.0869E+01  1.3483E+01  1.2433E+01  1.3073E+01  1.4526E+01  1.0319E+01
Si29   14   29  7.3312E+00  7.9260E+00  1.0575E+01  1.1659E+01  1.1292E+01  1.0278E+01  1.0082E+01  9.8879E+00  8.0917E+00
Si30   14   30  1.6285E+01  1.5057E+01  1.8146E+01  2.9007E+01  1.9361E+01  1.6245E+01  1.6278E+01  1.7953E+01  1.6700E+01
