  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  Rb   37    0  2.3119E+01  7.8109E+01  1.2570E+02  2.9435E+01  9.9441E-01  9.9249E-01  9.9316E-01  9.9300E-01  9.9512E-01
  Sr   38    0  2.3008E+01  9.2335E+01  1.1880E+02  2.6916E+01  1.0233E+00  1.0305E+00  1.0270E+00  1.0321E+00  1.0221E+00
  Y    39    0  1.5471E+01  6.7511E+01  8.5227E+01  1.4651E+01  1.0016E+00  1.0021E+00  1.0019E+00  1.0024E+00  1.0016E+00
  Zr   40    0  7.4953E+00  3.6851E+01  5.6247E+01  6.3773E+00  9.7062E-01  9.7061E-01  9.7055E-01  9.7101E-01  9.7086E-01
  Nb   41    0  4.6303E+00  2.4554E+01  2.1156E+01  3.8775E+00  9.7979E-01  9.7127E-01  9.7010E-01  9.7957E-01  9.8596E-01
  Mo   42    0  2.4737E+00  1.0017E+01  1.0924E+01  2.6996E+00  1.1706E+00  1.1763E+00  1.1769E+00  1.1707E+00  1.1663E+00
  Xe   54    0  1.4734E+00  5.2320E+00  4.5662E+00  1.4984E+00  9.9478E-01  9.9295E-01  9.9337E-01  9.9415E-01  9.9592E-01
  Cs   55    0  1.3211E+00  4.8305E+00  4.1333E+00  1.2115E+00  9.7371E-01  9.6309E-01  9.6233E-01  9.7108E-01  9.8008E-01
  Ba   56    0  1.9504E+00  5.6744E+00  5.1708E+00  2.0142E+00  1.0080E+00  1.0108E+00  1.0100E+00  1.0106E+00  1.0073E+00
  La   57    0  1.7840E+00  4.0957E+00  3.3861E+00  1.7726E+00  1.0010E+00  1.0013E+00  1.0011E+00  1.0015E+00  1.0010E+00
  Ce   58    0  1.3619E+00  2.3058E+00  2.1230E+00  1.3896E+00  1.0006E+00  1.0007E+00  1.0007E+00  1.0009E+00  1.0006E+00
  Pr   59    0  1.4127E+00  3.0298E+00  2.5359E+00  1.2819E+00  9.8766E-01  9.8340E-01  9.8441E-01  9.8496E-01  9.8959E-01
  Nd   60    0  1.1731E+00  1.5280E+00  1.6707E+00  1.4582E+00  1.0007E+00  1.0011E+00  1.0013E+00  1.0007E+00  1.0004E+00
  Hg   80    0  1.1389E+00  1.4425E+00  1.6700E+00  1.1792E+00  1.0106E+00  1.0141E+00  1.0132E+00  1.0128E+00  1.0089E+00
  Tl   81    0  1.1144E+00  1.2911E+00  1.3093E+00  1.1179E+00  9.9624E-01  9.9462E-01  9.9441E-01  9.9650E-01  9.9755E-01
  Pb   82    0  1.2298E+00  1.3528E+00  1.4361E+00  1.2893E+00  1.0027E+00  1.0036E+00  1.0033E+00  1.0037E+00  1.0025E+00
  Bi   83    0  9.3545E-01  9.1636E-01  9.0614E-01  9.3025E-01  9.9920E-01  9.9899E-01  9.9918E-01  9.9877E-01  9.9915E-01
  ele   Z    A    013b000     015b000     020b000     025b000     030b000     040b000     060b000     080b000     120b000
  H     1    0  7.2670E-01  7.0441E-01  6.3849E-01  6.1154E-01  9.9980E-01  9.4986E-01  8.8176E-01  7.7055E-01  6.1081E-01
  He    2    0  1.5988E+00  1.4403E+00  1.5202E+00  1.3955E+00  1.0001E+00  1.1495E+00  1.3530E+00  1.6855E+00  2.1420E+00
  Li    3    0  2.8386E-03  4.9444E-03  1.1115E-02  1.1417E-02  1.7612E-01  3.5959E-02  4.0419E-02  2.1278E-02  1.8085E-02
  Be    4    0  8.8407E-03  8.4805E-03  1.3726E-02  1.7331E-02  2.5944E-01  5.0309E-02  3.9143E-02  2.2416E-02  1.9162E-02
  B     5    0  1.5383E-01  1.4892E-01  1.3417E-01  1.3138E-01  8.9588E-01  3.9497E-01  3.2950E-01  1.8643E-01  1.5443E-01
