isotope,a,z,yield,mass,metallicity,irv
Ar40,40,18,2.9882e-06,25.0,0.0134,0.0
K39,39,19,0.00020748,25.0,0.0134,0.0
K40,40,19,2.4012e-06,25.0,0.0134,0.0
K41,41,19,2.3213e-05,25.0,0.0134,0.0
Ca40,40,20,0.0054988,25.0,0.0134,0.0
Ca42,42,20,9.904e-05,25.0,0.0134,0.0
Ca43,43,20,1.5423e-05,25.0,0.0134,0.0
Ca44,44,20,0.00011531,25.0,0.0134,0.0
Ca46,46,20,1.7107e-06,25.0,0.0134,0.0
Ca48,48,20,3.1303e-06,25.0,0.0134,0.0
Sc45,45,21,1.1417e-05,25.0,0.0134,0.0
Ti46,46,22,3.8662e-05,25.0,0.0134,0.0
Ti47,47,22,1.1818e-05,25.0,0.0134,0.0
Ti48,48,22,0.00014595,25.0,0.0134,0.0
Ti49,49,22,1.3958e-05,25.0,0.0134,0.0
Ti50,50,22,1.5569e-05,25.0,0.0134,0.0
V50,50,23,3.6694e-07,25.0,0.0134,0.0
V51,51,23,1.7812e-05,25.0,0.0134,0.0
Cr50,50,24,6.489e-05,25.0,0.0134,0.0
Cr52,52,24,0.00089006,25.0,0.0134,0.0
Cr53,53,24,0.00010288,25.0,0.0134,0.0
Cr54,54,24,3.1597e-05,25.0,0.0134,0.0
Mn55,55,25,0.00056375,25.0,0.0134,0.0
Fe54,54,26,0.004209,25.0,0.0134,0.0
Fe56,56,26,0.09354,25.0,0.0134,0.0
Fe57,57,26,0.0038561,25.0,0.0134,0.0
Fe58,58,26,0.0011766,25.0,0.0134,0.0
Co59,59,27,0.00098498,25.0,0.0134,0.0
Ni58,58,28,0.0052015,25.0,0.0134,0.0
Ni60,60,28,0.0025141,25.0,0.0134,0.0
Ni61,61,28,0.00030625,25.0,0.0134,0.0
Ni62,62,28,0.0013246,25.0,0.0134,0.0
Ni64,64,28,0.00031096,25.0,0.0134,0.0
Cu63,63,29,0.0003098,25.0,0.0134,0.0
Cu65,65,29,0.00013508,25.0,0.0134,0.0
Zn64,64,30,6.3774e-05,25.0,0.0134,0.0
Zn66,66,30,0.00016345,25.0,0.0134,0.0
Zn67,67,30,3.1573e-05,25.0,0.0134,0.0
Zn68,68,30,0.00013359,25.0,0.0134,0.0
Zn70,70,30,3.386e-06,25.0,0.0134,0.0
Ga69,69,31,2.1453e-05,25.0,0.0134,0.0
Ga71,71,31,1.7799e-05,25.0,0.0134,0.0
Ge70,70,32,2.9878e-05,25.0,0.0134,0.0
Ge72,72,32,2.7447e-05,25.0,0.0134,0.0
Ge73,73,32,8.7814e-06,25.0,0.0134,0.0
Ge74,74,32,2.8182e-05,25.0,0.0134,0.0
Ge76,76,32,2.2857e-06,25.0,0.0134,0.0
As75,75,33,6.3347e-06,25.0,0.0134,0.0
Se74,74,34,1.3955e-06,25.0,0.0134,0.0
Se76,76,34,7.1798e-06,25.0,0.0134,0.0
Se77,77,34,3.9763e-06,25.0,0.0134,0.0
Se78,78,34,1.0392e-05,25.0,0.0134,0.0
Se80,80,34,9.393e-06,25.0,0.0134,0.0
Se82,82,34,1.4194e-06,25.0,0.0134,0.0
Br79,79,35,3.1672e-06,25.0,0.0134,0.0
Br81,81,35,2.2926e-06,25.0,0.0134,0.0
Kr78,78,36,9.5068e-08,25.0,0.0134,0.0
Kr80,80,36,6.9525e-07,25.0,0.0134,0.0
Kr82,82,36,2.9259e-06,25.0,0.0134,0.0
Kr83,83,36,2.1324e-06,25.0,0.0134,0.0
Kr84,84,36,5.6029e-06,25.0,0.0134,0.0
Kr86,86,36,2.6983e-06,25.0,0.0134,0.0
Rb85,85,37,1.847e-06,25.0,0.0134,0.0
Rb87,87,37,1.2912e-06,25.0,0.0134,0.0
Sr84,84,38,9.7144e-08,25.0,0.0134,0.0
Sr86,86,38,7.4794e-07,25.0,0.0134,0.0
Sr87,87,38,3.5941e-07,25.0,0.0134,0.0
Sr88,88,38,3.1642e-06,25.0,0.0134,0.0
Y89,89,39,7.4635e-07,25.0,0.0134,0.0
Zr90,90,40,6.1488e-07,25.0,0.0134,0.0
Zr91,91,40,1.7208e-07,25.0,0.0134,0.0
Zr92,92,40,2.0717e-07,25.0,0.0134,0.0
Zr94,94,40,1.6518e-07,25.0,0.0134,0.0
Zr96,96,40,3.3404e-08,25.0,0.0134,0.0
Nb93,93,41,8.6085e-08,25.0,0.0134,0.0
Mo92,92,42,1.9664e-08,25.0,0.0134,0.0
Mo94,94,42,1.4739e-08,25.0,0.0134,0.0
Mo95,95,42,3.5029e-08,25.0,0.0134,0.0
Mo96,96,42,4.4279e-08,25.0,0.0134,0.0
Mo97,97,42,1.5885e-08,25.0,0.0134,0.0
Mo98,98,42,4.0467e-08,25.0,0.0134,0.0
Xe32,132,54,1.1142e-07,25.0,0.0134,0.0
Xe34,134,54,3.7961e-08,25.0,0.0134,0.0
Cs33,133,55,2.7164e-08,25.0,0.0134,0.0
Ba34,134,56,1.5035e-08,25.0,0.0134,0.0
Ba35,135,56,2.2554e-08,25.0,0.0134,0.0
Ba36,136,56,4.3635e-08,25.0,0.0134,0.0
Ba37,137,56,5.0682e-08,25.0,0.0134,0.0
Ba38,138,56,3.5269e-07,25.0,0.0134,0.0
La38,138,57,2.468e-11,25.0,0.0134,0.0
La39,139,57,4.2373e-08,25.0,0.0134,0.0
Ce40,140,58,9.5011e-08,25.0,0.0134,0.0
Pr41,141,59,1.4931e-08,25.0,0.0134,0.0
Nd42,142,60,2.5077e-08,25.0,0.0134,0.0
Nd43,143,60,7.1662e-09,25.0,0.0134,0.0
Nd44,144,60,1.5285e-08,25.0,0.0134,0.0
Hg02,202,80,1.7378e-08,25.0,0.0134,0.0
Hg04,204,80,2.9179e-09,25.0,0.0134,0.0
Tl03,203,81,1.0204e-08,25.0,0.0134,0.0
Tl05,205,81,1.9927e-08,25.0,0.0134,0.0
Pb04,204,82,6.8653e-09,25.0,0.0134,0.0
Pb06,206,82,4.4538e-08,25.0,0.0134,0.0
Pb07,207,82,5.0597e-08,25.0,0.0134,0.0
Pb08,208,82,1.3076e-07,25.0,0.0134,0.0
Bi09,209,83,1.5559e-08,25.0,0.0134,0.0
H,1,1,11.576,30.0,0.0134,0.0
H2,2,1,8.8318e-06,30.0,0.0134,0.0
He3,3,2,0.00062781,30.0,0.0134,0.0
He4,4,2,7.3349,30.0,0.0134,0.0
Li6,6,3,1.809e-10,30.0,0.0134,0.0
Li7,7,3,2.7714e-09,30.0,0.0134,0.0
Be9,9,4,9.103e-11,30.0,0.0134,0.0
B10,10,5,6.9818e-10,30.0,0.0134,0.0
B11,11,5,1.5659e-08,30.0,0.0134,0.0
C12,12,6,0.025054,30.0,0.0134,0.0
