  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  H     1    0  5.1180E-01  5.0066E-01  4.6624E-01  3.9697E-01  3.5701E-01  3.5749E-01  3.1456E-01  3.3690E-01  3.6894E-01
  He    2    0  1.4070E+00  1.3673E+00  1.3480E+00  1.5044E+00  1.5625E+00  1.6298E+00  1.9685E+00  2.1103E+00  2.2208E+00
  Li    3    0  2.9189E-04  5.2142E-04  1.1210E-03  1.9286E-03  1.9263E-03  2.5184E-03  1.9929E-03  1.9589E-03  8.6090E-04
  Be    4    0  4.2959E-04  7.5325E-04  1.5657E-03  2.6230E-03  3.0557E-03  4.0307E-03  3.0643E-03  3.1008E-03  1.5224E-03
  B     5    0  1.6663E-02  1.7194E-02  1.5258E-02  1.8886E-02  2.1893E-02  2.8727E-02  2.7850E-02  3.1305E-02  2.3978E-02
  C     6    0  2.0531E+01  1.7941E+01  2.4989E+01  2.8506E+01  2.5914E+01  2.6788E+01  2.2416E+01  1.8169E+01  1.3453E+01
  N     7    0  6.8539E+00  8.3031E+00  1.0989E+01  6.6723E+00  6.8496E+00  6.7752E+00  7.1832E+00  8.1395E+00  9.1796E+00
  O     8    0  2.3636E+01  2.6210E+01  2.9626E+01  3.0039E+01  3.2170E+01  3.0784E+01  2.4551E+01  1.9096E+01  1.3951E+01
  F     9    0  9.2708E+01  1.7324E+01  1.4769E+01  8.9859E-01  6.8430E-01  6.4473E-01  7.1884E-01  3.0552E-01  2.2647E-01
  Ne   10    0  8.4477E+00  9.4528E+00  8.9568E+00  1.9158E+01  3.0903E+01  2.3952E+01  1.8168E+01  1.2252E+01  7.0723E+00
  Na   11    0  7.8047E+00  7.1457E+00  8.8653E+00  1.6871E+01  2.2330E+01  2.1906E+01  1.8524E+01  1.4149E+01  1.0634E+01
  Mg   12    0  4.8468E+00  5.2588E+00  5.5464E+00  9.4516E+00  1.3363E+01  1.0044E+01  7.9234E+00  5.8290E+00  4.3394E+00
  Al   13    0  4.3847E+00  4.7120E+00  5.9636E+00  1.2423E+01  1.7525E+01  1.3313E+01  1.0162E+01  7.3843E+00  5.1418E+00
  Si   14    0  3.0139E+01  3.1611E+01  3.8562E+01  2.8226E+01  1.9715E+01  1.8586E+01  1.6141E+01  1.3284E+01  1.0221E+01
  P    15    0  1.1780E+01  2.2890E+01  3.4407E+01  2.3317E+01  2.0291E+01  1.9072E+01  1.4678E+01  1.2087E+01  8.9432E+00
  S    16    0  4.7480E+01  3.3820E+01  4.3575E+01  2.8520E+01  1.8390E+01  1.9979E+01  1.7659E+01  1.4815E+01  1.0394E+01
  Cl   17    0  7.9708E+00  1.1677E+01  8.4503E+00  5.4551E+00  4.8141E+00  5.8227E+00  4.7937E+00  4.2721E+00  2.7641E+00
  Ar   18    0  5.5393E+01  3.0205E+01  3.9266E+01  2.5892E+01  1.7258E+01  1.8977E+01  1.6201E+01  1.3700E+01  9.3400E+00
  K    19    0  2.0439E+01  2.6437E+01  8.2940E+00  5.2640E+00  4.3072E+00  4.9001E+00  4.3995E+00  3.9549E+00  2.6641E+00
  Ca   20    0  5.6931E+01  1.9098E+01  3.0977E+01  2.2557E+01  1.5883E+01  1.6516E+01  1.3240E+01  1.1099E+01  7.8843E+00
  Sc   21    0  2.5088E+01  3.0960E+01  1.5859E+01  1.3897E+01  1.9945E+01  2.2191E+01  2.1632E+01  1.6523E+01  1.1550E+01
  Ti   22    0  8.7399E+00  9.2018E+00  9.0848E+00  6.5111E+00  5.2160E+00  5.1126E+00  4.4934E+00  3.7263E+00  2.8824E+00
